wind_code,name,industry,in_index_50,in_index_300,in_index_500,in_index_1000
000001.SZ,平安银行,金融,0,1,0,0
000002.SZ,万科A,房地产,0,1,0,0
000009.SZ,中国宝安,工业,0,0,1,0
000012.SZ,南玻A,材料,0,0,0,1
000019.SZ,深粮控股,工业,0,0,0,1
000021.SZ,深科技,信息技术,0,0,1,0
000027.SZ,深圳能源,公用事业,0,0,1,0
000028.SZ,国药一致,医疗保健,0,0,0,1
000029.SZ,深深房A,房地产,0,0,0,1
000030.SZ,富奥股份,可选消费,0,0,0,1
000032.SZ,深桑达A,信息技术,0,0,1,0
000034.SZ,神州数码,信息技术,0,0,1,0
000035.SZ,中国天楹,工业,0,0,0,1
000039.SZ,中集集团,工业,0,0,1,0
000048.SZ,京基智农,日常消费,0,0,0,1
000049.SZ,德赛电池,工业,0,0,0,1
000050.SZ,深天马A,信息技术,0,0,1,0
000058.SZ,深赛格,工业,0,0,0,1
000059.SZ,华锦股份,能源,0,0,0,1
000060.SZ,中金岭南,材料,0,0,1,0
000061.SZ,农产品,日常消费,0,0,0,1
000062.SZ,深圳华强,信息技术,0,0,1,0
000063.SZ,中兴通讯,信息技术,0,1,0,0
000065.SZ,北方国际,工业,0,0,0,1
000088.SZ,盐田港,工业,0,0,1,0
000089.SZ,深圳机场,工业,0,0,0,1
000099.SZ,中信海直,工业,0,0,0,1
000100.SZ,TCL科技,信息技术,0,1,0,0
000155.SZ,川能动力,公用事业,0,0,1,0
000156.SZ,华数传媒,通讯服务,0,0,0,1
000157.SZ,中联重科,工业,0,1,0,0
000166.SZ,申万宏源,金融,0,1,0,0
000301.SZ,东方盛虹,材料,0,1,0,0
000333.SZ,美的集团,可选消费,0,1,0,0
000338.SZ,潍柴动力,工业,0,1,0,0
000400.SZ,许继电气,工业,0,0,1,0
000403.SZ,派林生物,医疗保健,0,0,0,1
000408.SZ,藏格矿业,材料,0,1,0,0
000415.SZ,渤海租赁,金融,0,0,1,0
000420.SZ,吉林化纤,材料,0,0,0,1
000422.SZ,湖北宜化,材料,0,0,0,1
000423.SZ,东阿阿胶,医疗保健,0,0,1,0
000425.SZ,徐工机械,工业,0,1,0,0
000426.SZ,兴业银锡,材料,0,0,1,0
000429.SZ,粤高速A,工业,0,0,1,0
000498.SZ,山东路桥,工业,0,0,0,1
000503.SZ,国新健康,信息技术,0,0,0,1
000513.SZ,丽珠集团,医疗保健,0,0,1,0
000519.SZ,中兵红箭,工业,0,0,1,0
000528.SZ,柳工,工业,0,0,1,0
000537.SZ,绿发电力,公用事业,0,0,1,0
000538.SZ,云南白药,医疗保健,0,1,0,0
000539.SZ,粤电力A,公用事业,0,0,1,0
000543.SZ,皖能电力,公用事业,0,0,0,1
000550.SZ,江铃汽车,可选消费,0,0,0,1
000552.SZ,甘肃能化,能源,0,0,0,1
000555.SZ,神州信息,信息技术,0,0,0,1
000557.SZ,西部创业,工业,0,0,0,1
000559.SZ,万向钱潮,可选消费,0,0,1,0
000563.SZ,陕国投A,金融,0,0,1,0
000567.SZ,海德股份,金融,0,0,0,1
000568.SZ,泸州老窖,日常消费,0,1,0,0
000581.SZ,威孚高科,可选消费,0,0,0,1
000582.SZ,北部湾港,工业,0,0,1,0
000589.SZ,贵州轮胎,可选消费,0,0,0,1
000591.SZ,太阳能,公用事业,0,0,1,0
000596.SZ,古井贡酒,日常消费,0,1,0,0
000597.SZ,东北制药,医疗保健,0,0,0,1
000598.SZ,兴蓉环境,公用事业,0,0,1,0
000600.SZ,建投能源,公用事业,0,0,0,1
000603.SZ,盛达资源,材料,0,0,0,1
000612.SZ,焦作万方,材料,0,0,0,1
000617.SZ,中油资本,金融,0,1,0,0
000620.SZ,盈新发展,房地产,0,0,0,1
000623.SZ,吉林敖东,医疗保健,0,0,1,0
000625.SZ,长安汽车,可选消费,0,1,0,0
000628.SZ,高新发展,工业,0,0,0,1
000629.SZ,钒钛股份,材料,0,0,1,0
000630.SZ,铜陵有色,材料,0,1,0,0
000636.SZ,风华高科,信息技术,0,0,0,1
000650.SZ,仁和药业,医疗保健,0,0,0,1
000651.SZ,格力电器,可选消费,0,1,0,0
000657.SZ,中钨高新,材料,0,0,1,0
000661.SZ,长春高新,医疗保健,0,1,0,0
000672.SZ,上峰水泥,材料,0,0,0,1
000676.SZ,智度股份,信息技术,0,0,0,1
000680.SZ,山推股份,工业,0,0,0,1
000681.SZ,视觉中国,通讯服务,0,0,0,1
000682.SZ,东方电子,工业,0,0,0,1
000683.SZ,博源化工,材料,0,0,1,0
000685.SZ,中山公用,公用事业,0,0,0,1
000686.SZ,东北证券,金融,0,0,0,1
000688.SZ,国城矿业,材料,0,0,0,1
000690.SZ,宝新能源,公用事业,0,0,0,1
000703.SZ,恒逸石化,材料,0,0,1,0
000708.SZ,中信特钢,材料,0,1,0,0
000709.SZ,河钢股份,材料,0,0,1,0
000712.SZ,锦龙股份,金融,0,0,0,1
000719.SZ,中原传媒,通讯服务,0,0,0,1
000723.SZ,美锦能源,能源,0,0,1,0
000725.SZ,京东方A,信息技术,0,1,0,0
000727.SZ,冠捷科技,信息技术,0,0,0,1
000728.SZ,国元证券,金融,0,0,1,0
000729.SZ,燕京啤酒,日常消费,0,0,1,0
000733.SZ,振华科技,信息技术,0,0,1,0
000737.SZ,北方铜业,材料,0,0,0,1
000738.SZ,航发控制,工业,0,0,1,0
000739.SZ,普洛药业,医疗保健,0,0,1,0
000750.SZ,国海证券,金融,0,0,1,0
000756.SZ,新华制药,医疗保健,0,0,0,1
000758.SZ,中色股份,材料,0,0,0,1
000761.SZ,本钢板材,材料,0,0,0,1
000762.SZ,西藏矿业,材料,0,0,0,1
000766.SZ,通化金马,医疗保健,0,0,0,1
000767.SZ,晋控电力,公用事业,0,0,0,1
000768.SZ,中航西飞,工业,0,1,0,0
000776.SZ,广发证券,金融,0,1,0,0
000778.SZ,新兴铸管,材料,0,0,0,1
000783.SZ,长江证券,金融,0,0,1,0
