wind_code,name,industry,in_hsi,in_hscei,in_hstech
0001.HK,长和,工业,1,0,0
0002.HK,中电控股,公用事业,1,0,0
0003.HK,香港中华煤气,公用事业,1,0,0
0005.HK,汇丰控股,金融,1,0,0
0006.HK,电能实业,公用事业,1,0,0
0012.HK,恒基地产,房地产,1,0,0
0016.HK,新鸿基地产,房地产,1,0,0
0020.HK,商汤-W,信息技术,0,0,1
0027.HK,银河娱乐,可选消费,1,0,0
0066.HK,港铁公司,工业,1,0,0
0101.HK,恒隆地产,房地产,1,0,0
0175.HK,吉利汽车,可选消费,1,1,0
0241.HK,阿里健康,日常消费,1,0,1
0267.HK,中信股份,工业,1,1,0
0268.HK,金蝶国际,信息技术,0,0,1
0285.HK,比亚迪电子,信息技术,1,0,1
0288.HK,万洲国际,日常消费,1,0,0
0291.HK,华润啤酒,日常消费,1,0,0
0300.HK,美的集团,可选消费,1,0,1
0316.HK,东方海外国际,工业,1,0,0
0322.HK,康师傅控股,日常消费,1,0,0
0386.HK,中国石油化工股份,能源,1,1,0
0388.HK,香港交易所,金融,1,0,0
0669.HK,创科实业,可选消费,1,0,0
0688.HK,中国海外发展,房地产,1,1,0
0700.HK,腾讯控股,信息技术,1,1,1
0728.HK,中国电信,通讯服务,1,0,0
0762.HK,中国联通,通讯服务,1,1,0
0780.HK,同程旅行,可选消费,0,0,1
0823.HK,领展房产基金,房地产,1,0,0
0836.HK,华润电力,公用事业,1,0,0
0857.HK,中国石油股份,能源,1,1,0
0868.HK,信义玻璃,工业,1,0,0
0883.HK,中国海洋石油,能源,1,1,0
0939.HK,建设银行,金融,1,1,0
0941.HK,中国移动,通讯服务,1,1,0
0960.HK,龙湖集团,房地产,1,0,0
0968.HK,信义光能,工业,1,0,0
0981.HK,中芯国际,信息技术,1,1,1
0992.HK,联想集团,信息技术,1,1,1
1024.HK,快手-W,通讯服务,1,1,1
1038.HK,长江基建集团,公用事业,1,0,0
1044.HK,恒安国际,日常消费,1,0,0
1088.HK,中国神华,能源,1,1,0
1093.HK,石药集团,医疗保健,1,1,0
1099.HK,国药控股,医疗保健,1,0,0
1109.HK,华润置地,房地产,1,1,0
1113.HK,长实集团,房地产,1,0,0
1177.HK,中国生物制药,医疗保健,1,0,0
1209.HK,华润万象生活,房地产,1,0,0
1211.HK,比亚迪股份,可选消费,1,1,1
1288.HK,农业银行,金融,0,1,0
1299.HK,友邦保险,金融,1,0,0
1347.HK,华虹半导体,信息技术,0,0,1
1378.HK,中国宏桥,材料,1,1,0
1398.HK,工商银行,金融,1,1,0
1658.HK,邮储银行,金融,0,1,0
1698.HK,腾讯音乐-SW,通讯服务,0,0,1
1801.HK,信达生物,医疗保健,1,1,0
1810.HK,小米集团-W,信息技术,1,1,1
1876.HK,百威亚太,日常消费,1,0,0
1928.HK,金沙中国有限公司,可选消费,1,0,0
1929.HK,周大福,可选消费,1,0,0
1997.HK,九龙仓置业,房地产,1,0,0
2015.HK,理想汽车-W,可选消费,1,1,1
2020.HK,安踏体育,可选消费,1,1,0
2057.HK,中通快递-W,工业,1,1,0
2269.HK,药明生物,医疗保健,1,0,0
2313.HK,申洲国际,可选消费,1,1,0
2318.HK,中国平安,金融,1,1,0
2319.HK,蒙牛乳业,日常消费,1,0,0
2328.HK,中国财险,金融,0,1,0
2331.HK,李宁,可选消费,1,0,0
2359.HK,药明康德,医疗保健,1,0,0
2382.HK,舜宇光学科技,信息技术,1,1,1
2388.HK,中银香港,金融,1,0,0
2423.HK,贝壳-W,房地产,0,1,0
2618.HK,京东物流,工业,1,0,0
2628.HK,中国人寿,金融,1,1,0
2688.HK,新奥能源,公用事业,1,0,0
2899.HK,紫金矿业,材料,1,1,0
3328.HK,交通银行,金融,0,1,0
3690.HK,美团-W,可选消费,1,1,1
3692.HK,翰森制药,医疗保健,1,0,0
3750.HK,宁德时代,工业,1,0,0
3888.HK,金山软件,信息技术,0,0,1
3968.HK,招商银行,金融,1,1,0
3988.HK,中国银行,金融,1,1,0
3993.HK,洛阳钼业,材料,1,0,0
6160.HK,百济神州,医疗保健,0,1,0
6181.HK,老铺黄金,可选消费,1,0,0
6618.HK,京东健康,日常消费,1,1,1
6690.HK,海尔智家,可选消费,1,1,1
6862.HK,海底捞,可选消费,1,0,0
9618.HK,京东集团-SW,可选消费,1,1,1
9626.HK,哔哩哔哩-W,信息技术,0,0,1
9633.HK,农夫山泉,日常消费,1,1,0
9660.HK,地平线机器人-W,信息技术,0,1,1
9863.HK,零跑汽车,可选消费,0,0,1
9866.HK,蔚来-SW,可选消费,0,0,1
9868.HK,小鹏集团-W,可选消费,0,1,1
9888.HK,百度集团-SW,信息技术,1,1,1
9901.HK,新东方-S,可选消费,1,0,0
9961.HK,携程集团-S,可选消费,1,1,1
9987.HK,百胜中国,可选消费,0,1,0
9988.HK,阿里巴巴-W,可选消费,1,1,1
9992.HK,泡泡玛特,可选消费,1,1,0
9999.HK,网易-S,信息技术,1,1,1
